,CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
5169,15238,Tournemire,69,127,18498,,,,,,,,,,,,,,,,,,,,,,,,
5170,15240,Trémouille,78,147,15146,,,,,,,,,,,,,,,,,,,,,,,,
5171,15241,La Trinitat,,,,,,,,,,,,,,,,,,,,,,,,,,,
5172,15242,Le Trioulou,46,100,20587.760869565216,,,,,,,,,,,,,,,,,,,,,,,,
5173,15243,Trizac,242,478.5,16503.5,,,,,,,,,,,,,,,,,,,,,,,,
5174,15244,Ussel,187,472,19030,,,,,,,,,,,,,,,,,,,,,,,,
5175,15245,Vabres,106,242,20679.416666666664,,,,,,,,,,,,,,,,,,,,,,,,
5176,15246,Valette,110,237.5,17994,,,,,,,,,,,,,,,,,,,,,,,,
5177,15247,Valjouze,,,,,,,,,,,,,,,,,,,,,,,,,,,
5178,15248,Valuéjols,264,578.5,20041.11111111111,,,,,,,,,,,,,,,,,,,,,,,,
5179,15249,Le Vaulmier,,,,,,,,,,,,,,,,,,,,,,,,,,,
5180,15250,Vebret,219,479.5,18310.5,,,,,,,,,,,,,,,,,,,,,,,,
5181,15251,Védrines-Saint-Loup,69,131,18926,,,,,,,,,,,,,,,,,,,,,,,,
5182,15252,Velzic,174,407,20281.153846153844,,,,,,,,,,,,,,,,,,,,,,,,
5183,15253,Vernols,,,,,,,,,,,,,,,,,,,,,,,,,,,
5184,15254,Veyrières,49,105,17563,,,,,,,,,,,,,,,,,,,,,,,,
5185,15255,Vézac,483,1215.5,20942.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5186,15256,Vèze,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187,15257,Vezels-Roussy,59,122,17124.2,,,,,,,,,,,,,,,,,,,,,,,,
5188,15258,Vic-sur-Cère,872,1757,20293,,,,,,,,,,,,,,,,,,,,,,,,
5189,15259,Vieillespesse,109,246,19000,,,,,,,,,,,,,,,,,,,,,,,,
5190,15260,Vieillevie,52,87.5,17827.6,,,,,,,,,,,,,,,,,,,,,,,,
5191,15261,Le Vigean,378,814.5,20377,,,,,,,,,,,,,,,,,,,,,,,,
5192,15262,Villedieu,225,569.5,20945.6,,,,,,,,,,,,,,,,,,,,,,,,
5193,15263,Virargues,53,132,17689.04761904762,,,,,,,,,,,,,,,,,,,,,,,,
5194,15264,Vitrac,125,269,17230,,,,,,,,,,,,,,,,,,,,,,,,
5195,15265,Ydes,797,1604,19222,,,,,,,,,,,,,,,,,,,,,,,,
5196,15266,Yolet,252,604.5,20740.5,,,,,,,,,,,,,,,,,,,,,,,,
5197,15267,Ytrac,1716,4320,22095.23809523809,57,6,,,,,,,,,72.2,63.6,1.6,7.1,30.7,9.9,3.5,1.8,1,0.7,-16.3,14396.8,35209.6,2.4456545899088686
5198,15268,Le Rouget-Pers,531,1124.5,19478,,,,,,,,,,,,,,,,,,,,,,,,
5199,15269,Besse,54,109,17132,,,,,,,,,,,,,,,,,,,,,,,,
5200,16001,Abzac,205,430.5,15918,,,,,,,,,,,,,,,,,,,,,,,,
5201,16002,Les Adjots,205,505.5,17292.38095238095,,,,,,,,,,,,,,,,,,,,,,,,
5202,16003,Agris,362,838.5,19208,,,,,,,,,,,,,,,,,,,,,,,,
5203,16005,Aigre,691,1416,18398,,,,,,,,,,,,,,,,,,,,,,,,
5204,16007,Alloue,239,484.5,17405,,,,,,,,,,,,,,,,,,,,,,,,
5205,16008,Ambérac,140,307,19686.52173913044,,,,,,,,,,,,,,,,,,,,,,,,
5206,16009,Ambernac,174,375,17406,,,,,,,,,,,,,,,,,,,,,,,,
5207,16010,Ambleville,83,168,19883.5,,,,,,,,,,,,,,,,,,,,,,,,
5208,16011,Anais,239,582,21275,,,,,,,,,,,,,,,,,,,,,,,,
5209,16012,Angeac-Champagne,206,505,21805.33333333333,,,,,,,,,,,,,,,,,,,,,,,,
5210,16013,Angeac-Charente,146,349,21767.5,,,,,,,,,,,,,,,,,,,,,,,,
5211,16014,Angeduc,52,135,19774.761904761905,,,,,,,,,,,,,,,,,,,,,,,,
5212,16015,Angoulême,19718,37789.5,18163.33333333333,43,23,38,30,27,23,13,8,7,36,66.6,56.6,4,6,30.6,8.4,10.3,2.3,4.6,3.4,-15.9,9126,33967.777777777774,3.722088294737867
5213,16016,Ansac-sur-Vienne,376,823.5,19440,,,,,,,,,,,,,,,,,,,,,,,,
5214,16018,Ars,306,723.5,23045.2,,,,,,,,,,,,,,,,,,,,,,,,
5215,16019,Asnières-sur-Nouère,513,1248,20820.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5216,16020,Aubeterre-sur-Dronne,110,206,17241.6,,,,,,,,,,,,,,,,,,,,,,,,
5217,16023,Aunac-sur-Charente,269,596.5,17350.47619047619,,,,,,,,,,,,,,,,,,,,,,,,
5218,16024,Aussac-Vadalle,208,500,20585,,,,,,,,,,,,,,,,,,,,,,,,
5219,16025,Baignes-Sainte-Radegonde,555,1190.5,17628.666666666668,,,,,,,,,,,,,,,,,,,,,,,,
5220,16026,Balzac,566,1384,22958.571428571428,,,,,,,,,,,,,,,,,,,,,,,,
5221,16027,Barbezières,53,122,18456.166666666664,,,,,,,,,,,,,,,,,,,,,,,,
5222,16028,Barbezieux-Saint-Hilaire,2178,4399,18164.761904761905,37,18,,,24,,,,,32,59.4,50.2,3.3,5.9,37,8.9,8.3,2.2,3.4,2.6,-13.6,10415.454545454546,32697.5,3.1393253033080213
5223,16029,Bardenac,104,232,17522,,,,,,,,,,,,,,,,,,,,,,,,
5224,16030,Barret,432,1059,21731.153846153844,,,,,,,,,,,,,,,,,,,,,,,,
5225,16031,Barro,173,420,21132.85714285714,,,,,,,,,,,,,,,,,,,,,,,,
5226,16032,Bassac,221,542,20039.52380952381,,,,,,,,,,,,,,,,,,,,,,,,
5227,16034,Bazac,72,132,16958,,,,,,,,,,,,,,,,,,,,,,,,
5228,16035,Beaulieu-sur-Sonnette,115,224.5,17408.571428571428,,,,,,,,,,,,,,,,,,,,,,,,
5229,16036,Bécheresse,111,295,19098.69565217392,,,,,,,,,,,,,,,,,,,,,,,,
5230,16037,Bellon,57,127.5,17359,,,,,,,,,,,,,,,,,,,,,,,,
